,chiller_evap_return_temp_time_step_0,chiller_cond_entry_temp_time_step_0,total_evap_nwk_flowrate_time_step_0,total_cond_nwk_flowrate_time_step_0,sp1_temp_t_inout_time_step_0,sp2_temp_t_inout_time_step_0,ch1_1_evap_m_perc_time_step_0,ch1_1_evap_t_out_time_step_0,ch1_2_evap_m_perc_time_step_0,ch1_2_evap_t_out_time_step_0,ch1_3_evap_m_perc_time_step_0,ch1_3_evap_t_out_time_step_0,ch1_4_evap_m_perc_time_step_0,ch1_4_evap_t_out_time_step_0,gv2_ss_m_perc_time_step_0,gv2_ss_t_in_time_step_0,cp_nwk_m_perc_time_step_0,cp_nwk_tinout_time_step_0,ch_evap_ret_t_in_time_step_0,ch_e_f_c_mass_flow_time_step_0,sp1_temp_y_time_step_0,sp2_temp_y_time_step_0,ch_evap_ret_y_time_step_0,ch_e_f_c_y_time_step_0,ch1_1_evap_y_time_step_0,ch1_2_evap_y_time_step_0,ch1_3_evap_y_time_step_0,ch1_4_evap_y_time_step_0,gv2_ss_y_time_step_0,cp_nwk_y_time_step_0,Obj_Value_time_step_0,chiller_evap_return_temp_time_step_1,chiller_cond_entry_temp_time_step_1,total_evap_nwk_flowrate_time_step_1,total_cond_nwk_flowrate_time_step_1,sp1_temp_t_inout_time_step_1,sp2_temp_t_inout_time_step_1,ch1_1_evap_m_perc_time_step_1,ch1_1_evap_t_out_time_step_1,ch1_2_evap_m_perc_time_step_1,ch1_2_evap_t_out_time_step_1,ch1_3_evap_m_perc_time_step_1,ch1_3_evap_t_out_time_step_1,ch1_4_evap_m_perc_time_step_1,ch1_4_evap_t_out_time_step_1,gv2_ss_m_perc_time_step_1,gv2_ss_t_in_time_step_1,cp_nwk_m_perc_time_step_1,cp_nwk_tinout_time_step_1,ch_evap_ret_t_in_time_step_1,ch_e_f_c_mass_flow_time_step_1,sp1_temp_y_time_step_1,sp2_temp_y_time_step_1,ch_evap_ret_y_time_step_1,ch_e_f_c_y_time_step_1,ch1_1_evap_y_time_step_1,ch1_2_evap_y_time_step_1,ch1_3_evap_y_time_step_1,ch1_4_evap_y_time_step_1,gv2_ss_y_time_step_1,cp_nwk_y_time_step_1,Obj_Value_time_step_1,Obj_Value_Overall
10,288.0,289.0,68.6,3580.0,0.14705882352941177,0.4950000000000008,0.0,0.0,1.0,0.2463368018687624,0.0,0.0,0.0,0.0,0.8529411764705882,0.8529411764705882,0.14705882352941177,0.14705882352941177,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,101.96126596299523,283.0,289.0,274.0,984.0,0.1404538949609437,0.3283333333333341,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3631205478902036,0.8404538949609437,0.8034042122070777,0.15954610503905628,0.1404538949609437,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,385.7874630253269,498.0
11,288.0,290.0,62.2,3760.0,0.126903582438566,0.4950000000000008,0.0,0.0,1.0,0.20267923993913417,0.0,0.0,0.0,0.0,0.8269035824385661,0.7017768682892519,0.17309641756143399,0.126903582438566,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,104.71508808148471,284.0,290.0,244.0,50.1,0.14705882352941177,0.3616666666666674,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3463720513586104,0.8529411764705882,0.8529411764705882,0.14705882352941185,0.14705882352941185,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,395.118046967228,493.0
12,288.0,290.0,65.5,4030.0,0.14548941310114466,0.4950000000000008,0.0,0.0,1.0,0.2429373568977884,0.0,0.0,0.0,0.0,0.8454894131011446,0.8411705982585904,0.15451058689885536,0.14548941310114463,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,104.7032843948656,284.0,290.0,243.0,51.1,0.14705882352941102,0.3616666666666674,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.34637205135860843,0.8529411764705891,0.8529411764705891,0.147058823529411,0.147058823529411,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,392.54533632420043,494.0
13,288.0,291.0,62.4,3270.0,0.12811171066928342,0.4950000000000008,0.0,0.0,1.0,0.20529612419339577,0.0,0.0,0.0,0.0,0.8281117106692834,0.7108378300196251,0.17188828933071656,0.12811171066928342,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,111.64751734038857,284.0,290.0,245.0,164.0,0.14705882352941177,0.3616666666666674,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3463720513586142,0.8529411764705882,0.8529411764705882,0.14705882352941177,0.14705882352941177,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,397.6907576122535,497.0
14,286.0,290.0,71.8,2210.0,0.10955804233942457,0.42833333333333407,0.0,0.0,0.9999999999999929,0.19297394685103392,0.0,0.0,0.0,0.0,0.6095580423394245,0.5716853175456849,0.39044195766057543,0.10955804233942457,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,118.91716234309584,284.0,289.0,256.0,33.5,0.14705882352941102,0.3616666666666674,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3463720513586084,0.852941176470589,0.852941176470589,0.147058823529411,0.147058823529411,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,413.7208944592283,496.0
15,288.0,291.0,63.4,3270.0,0.13397674322339015,0.4950000000000008,0.0,0.0,0.9999999999999928,0.21800016582698467,0.0,0.0,0.0,0.0,0.7839767432233902,0.7548255741754255,0.21602325677660983,0.13397674322339015,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,111.62475632539784,284.0,290.0,254.0,431.0,0.14705882352941177,0.3616666666666674,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.3463720513586118,0.8529411764705882,0.8529411764705882,0.14705882352941177,0.14705882352941177,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,420.8451534082119,498.0
16,288.0,289.0,71.7,2330.0,0.14705882352941105,0.4950000000000008,0.0,0.0,1.0,0.2463368018687624,0.0,0.0,0.0,0.0,0.852941176470589,0.852941176470589,0.14705882352941102,0.14705882352941102,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,106.60165840354605,283.0,289.0,247.0,296.0,0.11984807314085,0.3283333333333341,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29327030443225977,0.6698480731408502,0.6488605485563758,0.33015192685915,0.11984807314085,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,385.9908559535656,499.0
17,288.0,290.0,63.4,3230.0,0.1339767432233895,0.4950000000000008,0.0,0.0,1.0,0.21800016582683868,0.0,0.0,0.0,0.0,0.7839767432233895,0.7548255741754277,0.2160232567766106,0.13397674322338948,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,104.6851858134068,284.0,290.0,248.0,248.0,0.14705882352941174,0.3616666666666674,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3463720513586142,0.8529411764705882,0.8529411764705882,0.14705882352941174,0.14705882352941174,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,405.4088895433413,492.0
18,288.0,290.0,61.6,3830.0,0.12331223188580924,0.4950000000000008,0.0,0.0,1.0,0.19490014126890315,0.0,0.0,0.0,0.0,0.7733122318858092,0.6748417391435693,0.22668776811419075,0.12331223188580923,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,104.71673090709558,283.0,289.0,247.0,232.0,0.11984807314085,0.3283333333333341,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29327030443225977,0.6698480731408502,0.6488605485563758,0.33015192685915,0.11984807314085,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,385.9908559535656,491.0
19,287.0,289.0,65.8,3440.0,0.11381639080296115,0.46166666666666745,0.0,0.0,1.0,0.18789818864504443,0.0,0.0,0.0,0.0,0.7638163908029612,0.6036229310222085,0.23618360919703885,0.11381639080296113,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,104.81042393904883,283.0,289.0,248.0,248.0,0.12067266318986972,0.3283333333333341,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2960655249374087,0.6706726631898697,0.6550449739240235,0.32932733681013027,0.12067266318986972,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,386.0388584166223,495.0
