,nwk_choice,ice_1,ice_2,tro_1,tro_2,fir_1,fir_2,fir_3,p1_m_coeff,p1_p_coeff,p1_cst,p1_max_m,p2_m_coeff,p2_p_coeff,p2_cst,p2_max_m,p3_m_coeff,p3_p_coeff,p3_cst,p3_max_m
12,1,1,0,0,0,1,0,0,0.09495701882064356,0.4449761547525616,1.7659039087977604,593.2266473096603,0.0705958341917439,0.37665014479066344,0.4279435797365245,58.70364552549003,0.0,0.0,0.0,0.0
13,1,1,0,0,0,0,1,0,0.09495701882064356,0.4449761547525616,1.7659039087977604,593.2266473096603,0.05384358234113184,1.072031517331963,1.1180770681511731,56.263393791251545,0.0,0.0,0.0,0.0
14,1,1,0,0,0,0,0,1,0.09495701882064356,0.4449761547525616,1.7659039087977604,593.2266473096603,0.05384358234113184,1.072031517331963,1.1180770681511731,56.263393791251545,0.0,0.0,0.0,0.0
15,1,0,1,0,0,1,0,0,0.07472361043456001,0.8166275840147595,6.723840867821828,781.6390364896635,0.0705958341917439,0.37665014479066344,0.4279435797365245,58.70364552549003,0.0,0.0,0.0,0.0
16,1,0,1,0,0,0,1,0,0.07472361043456001,0.8166275840147595,6.723840867821828,781.6390364896635,0.05384358234113184,1.072031517331963,1.1180770681511731,56.263393791251545,0.0,0.0,0.0,0.0
17,1,0,1,0,0,0,0,1,0.07472361043456001,0.8166275840147595,6.723840867821828,781.6390364896635,0.05384358234113184,1.072031517331963,1.1180770681511731,56.263393791251545,0.0,0.0,0.0,0.0
18,1,0,0,1,0,1,0,0,0.08633514047612872,1.4730175758099704,14.398844032001378,886.7848380430625,0.0705958341917439,0.37665014479066344,0.4279435797365245,58.70364552549003,0.0,0.0,0.0,0.0
19,1,0,0,1,0,0,1,0,0.08633514047612872,1.4730175758099704,14.398844032001378,886.7848380430625,0.05384358234113184,1.072031517331963,1.1180770681511731,56.263393791251545,0.0,0.0,0.0,0.0
20,1,0,0,1,0,0,0,1,0.08633514047612872,1.4730175758099704,14.398844032001378,886.7848380430625,0.05384358234113184,1.072031517331963,1.1180770681511731,56.263393791251545,0.0,0.0,0.0,0.0
21,1,0,0,0,1,1,0,0,0.1021884361279424,2.7259667949505673,32.49480086477331,997.5640325560421,0.0705958341917439,0.37665014479066344,0.4279435797365245,58.70364552549003,0.0,0.0,0.0,0.0
22,1,0,0,0,1,0,1,0,0.1021884361279424,2.7259667949505673,32.49480086477331,997.5640325560421,0.05384358234113184,1.072031517331963,1.1180770681511731,56.263393791251545,0.0,0.0,0.0,0.0
23,1,0,0,0,1,0,0,1,0.1021884361279424,2.7259667949505673,32.49480086477331,997.5640325560421,0.05384358234113184,1.072031517331963,1.1180770681511731,56.263393791251545,0.0,0.0,0.0,0.0
24,2,1,0,1,0,0,0,0,0.09591706509748839,0.4346301803432778,2.170201901098949,441.84725367182136,0.08492696877747512,1.558407753427949,12.092964124116051,433.5907613181212,0.0,0.0,0.0,0.0
25,2,0,1,1,0,0,0,0,0.06836565435749703,0.8668195100069599,6.303680467460957,511.17972996346987,0.08492696877747512,1.558407753427949,12.092964124116051,433.5907613181212,0.0,0.0,0.0,0.0
26,2,1,0,0,1,0,0,0,0.09591706509748839,0.4346301803432778,2.170201901098949,441.84725367182136,0.11841334152847736,2.8188293596899463,27.175547913636024,485.78605868808074,0.0,0.0,0.0,0.0
27,2,0,1,0,1,0,0,0,0.06836565435749703,0.8668195100069599,6.303680467460957,511.17972996346987,0.11841334152847736,2.8188293596899463,27.175547913636024,485.78605868808074,0.0,0.0,0.0,0.0
28,2,1,0,0,0,1,0,0,0.09591706509748839,0.4346301803432778,2.170201901098949,441.84725367182136,0.06935519554570461,0.34993881989594244,1.1588673341167706,288.8055743995766,0.0,0.0,0.0,0.0
29,2,0,1,0,0,1,0,0,0.06836565435749703,0.8668195100069599,6.303680467460957,511.17972996346987,0.06935519554570461,0.34993881989594244,1.1588673341167706,288.8055743995766,0.0,0.0,0.0,0.0
