,Parent,Variable,Type,Name,Layer,Flow_min,Flow_grad,InOut
476,cp_nwk,cp_nwk_u11,flow,cp_nwk_flow_in_u,evap_nwk_flow,0.0,377.5,in
477,cp_nwk,cp_nwk_v11,flow,cp_nwk_flow_in_v,evap_nwk_flow,0.0,377.5,in
478,cp_nwk,cp_nwk_u11,balancing_only,cp_nwk_flow_out_u,evapnwk_consol_flow,0.0,377.5,out
479,cp_nwk,cp_nwk_v11,balancing_only,cp_nwk_flow_out_v,evapnwk_consol_flow,0.0,377.5,out
480,gv2_ss,gv2_ss_u0,temp_chil,gv2_ss_tin_u,sp12gv2_temp,274.15,2.0,in
481,gv2_ss,gv2_ss_v0,temp_chil,gv2_ss_tin_v,sp12gv2_temp,0.0,-2.0,in
482,gv2_ss,gv2_ss_u0,flow,gv2_ss_mfin_u,gv2nwk2ss_flow,0.0,377.5,in
483,gv2_ss,gv2_ss_v0,flow,gv2_ss_mfin_v,gv2nwk2ss_flow,0.0,377.5,in
484,gv2_ss,gv2_ss_u0,temp_chil,gv2_ss_tout_u,ss2sp2_temp,0.5676442762535477,137.24166666666665,out
485,gv2_ss,gv2_ss_v0,temp_chil,gv2_ss_tout_v,ss2sp2_temp,0.8333333333333331,138.90833333333333,out
486,gv2_ss,gv2_ss_u0,flow,gv2_ss_flow_out_u,distnwk_consol_flow,0.0,377.5,out
487,gv2_ss,gv2_ss_v0,flow,gv2_ss_flow_out_v,distnwk_consol_flow,0.0,377.5,out
488,gv2_ss,gv2_ss_u1,temp_chil,gv2_ss_tin_u,sp12gv2_temp,274.15,2.0,in
489,gv2_ss,gv2_ss_v1,temp_chil,gv2_ss_tin_v,sp12gv2_temp,0.0,-2.0,in
490,gv2_ss,gv2_ss_u1,flow,gv2_ss_mfin_u,gv2nwk2ss_flow,0.0,377.5,in
491,gv2_ss,gv2_ss_v1,flow,gv2_ss_mfin_v,gv2nwk2ss_flow,0.0,377.5,in
492,gv2_ss,gv2_ss_u1,temp_chil,gv2_ss_tout_u,ss2sp2_temp,0.5120887206979922,137.575,out
493,gv2_ss,gv2_ss_v1,temp_chil,gv2_ss_tout_v,ss2sp2_temp,0.5555555555555559,138.575,out
494,gv2_ss,gv2_ss_u1,flow,gv2_ss_flow_out_u,distnwk_consol_flow,0.0,377.5,out
495,gv2_ss,gv2_ss_v1,flow,gv2_ss_flow_out_v,distnwk_consol_flow,0.0,377.5,out
