,Variable,Parent_unit,Parent_eqn,Parent_stream,Coefficient,Grad,Cst
54,m_flow,dist_np_combi_0_3,dist_np_combi_0_3_max_pressure,-,0,0.03428343302433925,0
55,delp,dist_np_combi_0_3,dist_np_combi_0_3_max_pressure,-,0,1,0
56,-,dist_np_combi_1_0,totaluse_dist_np,-,1,0,0
57,m_flow,dist_np_combi_1_0,dist_np_combi_1_0_max_pressure,-,0,-0.012252307417925322,0
58,delp,dist_np_combi_1_0,dist_np_combi_1_0_max_pressure,-,0,1,0
59,-,dist_np_combi_1_1,totaluse_dist_np,-,1,0,0
60,m_flow,dist_np_combi_1_1,dist_np_combi_1_1_max_pressure,-,0,0.028172661346224023,0
61,delp,dist_np_combi_1_1,dist_np_combi_1_1_max_pressure,-,0,1,0
62,-,dist_np_combi_1_2,totaluse_dist_np,-,1,0,0
63,m_flow,dist_np_combi_1_2,dist_np_combi_1_2_max_pressure,-,0,0.06859763011037338,0
64,delp,dist_np_combi_1_2,dist_np_combi_1_2_max_pressure,-,0,1,0
65,-,dist_np_combi_1_3,totaluse_dist_np,-,1,0,0
66,m_flow,dist_np_combi_1_3,dist_np_combi_1_3_max_pressure,-,0,0.10902259887452269,0
67,delp,dist_np_combi_1_3,dist_np_combi_1_3_max_pressure,-,0,1,0
68,-,dist_np_combi_2_0,totaluse_dist_np,-,1,0,0
69,m_flow,dist_np_combi_2_0,dist_np_combi_2_0_max_pressure,-,0,-0.004934453823458953,0
70,delp,dist_np_combi_2_0,dist_np_combi_2_0_max_pressure,-,0,1,0
71,-,dist_np_combi_2_1,totaluse_dist_np,-,1,0,0
72,m_flow,dist_np_combi_2_1,dist_np_combi_2_1_max_pressure,-,0,0.011617927929623116,0
73,delp,dist_np_combi_2_1,dist_np_combi_2_1_max_pressure,-,0,1,0
74,-,dist_np_combi_2_2,totaluse_dist_np,-,1,0,0
75,m_flow,dist_np_combi_2_2,dist_np_combi_2_2_max_pressure,-,0,0.028170309682705223,0
76,delp,dist_np_combi_2_2,dist_np_combi_2_2_max_pressure,-,0,1,0
77,-,dist_np_combi_2_3,totaluse_dist_np,-,1,0,0
78,m_flow,dist_np_combi_2_3,dist_np_combi_2_3_max_pressure,-,0,0.044722691435787304,0
79,delp,dist_np_combi_2_3,dist_np_combi_2_3_max_pressure,-,0,1,0
80,-,dist_np_combi_3_0,totaluse_dist_np,-,1,0,0
81,m_flow,dist_np_combi_3_0,dist_np_combi_3_0_max_pressure,-,0,-0.005488135650663187,0
82,delp,dist_np_combi_3_0,dist_np_combi_3_0_max_pressure,-,0,1,0
83,-,dist_np_combi_3_1,totaluse_dist_np,-,1,0,0
84,m_flow,dist_np_combi_3_1,dist_np_combi_3_1_max_pressure,-,0,0.007382835048010469,0
85,delp,dist_np_combi_3_1,dist_np_combi_3_1_max_pressure,-,0,1,0
86,-,dist_np_combi_3_2,totaluse_dist_np,-,1,0,0
87,m_flow,dist_np_combi_3_2,dist_np_combi_3_2_max_pressure,-,0,0.020253805746684086,0
88,delp,dist_np_combi_3_2,dist_np_combi_3_2_max_pressure,-,0,1,0
89,-,dist_np_combi_3_3,totaluse_dist_np,-,1,0,0
90,m_flow,dist_np_combi_3_3,dist_np_combi_3_3_max_pressure,-,0,0.03312477644535776,0
91,delp,dist_np_combi_3_3,dist_np_combi_3_3_max_pressure,-,0,1,0
92,-,dist_np_combi_4_0,totaluse_dist_np,-,1,0,0
93,m_flow,dist_np_combi_4_0,dist_np_combi_4_0_max_pressure,-,0,0.0017745928274508003,0
94,delp,dist_np_combi_4_0,dist_np_combi_4_0_max_pressure,-,0,1,0
95,-,dist_np_combi_4_1,totaluse_dist_np,-,1,0,0
96,m_flow,dist_np_combi_4_1,dist_np_combi_4_1_max_pressure,-,0,0.00576190268235239,0
97,delp,dist_np_combi_4_1,dist_np_combi_4_1_max_pressure,-,0,1,0
98,-,dist_np_combi_4_2,totaluse_dist_np,-,1,0,0
99,m_flow,dist_np_combi_4_2,dist_np_combi_4_2_max_pressure,-,0,0.00974921253725398,0
100,delp,dist_np_combi_4_2,dist_np_combi_4_2_max_pressure,-,0,1,0
101,-,dist_np_combi_4_3,totaluse_dist_np,-,1,0,0
102,m_flow,dist_np_combi_4_3,dist_np_combi_4_3_max_pressure,-,0,0.01373652239215557,0
103,delp,dist_np_combi_4_3,dist_np_combi_4_3_max_pressure,-,0,1,0
104,-,dist_np_combi_5_0,totaluse_dist_np,-,1,0,0
105,m_flow,dist_np_combi_5_0,dist_np_combi_5_0_max_pressure,-,0,-0.005571474929839548,0
106,delp,dist_np_combi_5_0,dist_np_combi_5_0_max_pressure,-,0,1,0
107,-,dist_np_combi_5_1,totaluse_dist_np,-,1,0,0
108,m_flow,dist_np_combi_5_1,dist_np_combi_5_1_max_pressure,-,0,0.029070273010481325,0
109,delp,dist_np_combi_5_1,dist_np_combi_5_1_max_pressure,-,0,1,0
110,-,dist_np_combi_5_2,totaluse_dist_np,-,1,0,0
111,m_flow,dist_np_combi_5_2,dist_np_combi_5_2_max_pressure,-,0,0.06371202095080224,0
112,delp,dist_np_combi_5_2,dist_np_combi_5_2_max_pressure,-,0,1,0
113,-,dist_np_combi_5_3,totaluse_dist_np,-,1,0,0
114,m_flow,dist_np_combi_5_3,dist_np_combi_5_3_max_pressure,-,0,0.0983537688911231,0
115,delp,dist_np_combi_5_3,dist_np_combi_5_3_max_pressure,-,0,1,0
116,-,dist_np_combi_6_0,totaluse_dist_np,-,1,0,0
117,m_flow,dist_np_combi_6_0,dist_np_combi_6_0_max_pressure,-,0,-0.0029829050536658215,0
118,delp,dist_np_combi_6_0,dist_np_combi_6_0_max_pressure,-,0,1,0
119,-,dist_np_combi_6_1,totaluse_dist_np,-,1,0,0
120,m_flow,dist_np_combi_6_1,dist_np_combi_6_1_max_pressure,-,0,0.009439207639002531,0
121,delp,dist_np_combi_6_1,dist_np_combi_6_1_max_pressure,-,0,1,0
122,-,dist_np_combi_6_2,totaluse_dist_np,-,1,0,0
123,m_flow,dist_np_combi_6_2,dist_np_combi_6_2_max_pressure,-,0,0.02186132033167085,0
124,delp,dist_np_combi_6_2,dist_np_combi_6_2_max_pressure,-,0,1,0
125,-,dist_np_combi_6_3,totaluse_dist_np,-,1,0,0
126,m_flow,dist_np_combi_6_3,dist_np_combi_6_3_max_pressure,-,0,0.03428343302433925,0
127,delp,dist_np_combi_6_3,dist_np_combi_6_3_max_pressure,-,0,1,0
