Marca temporal;001 - Planta Biomasa Electricidad.AGUA ENTRADA FILTROS BIOMASA (m3)
06/10/2015 0:00:00;0
07/10/2015 0:00:00;0
08/10/2015 0:00:00;7
09/10/2015 0:00:00;0
10/10/2015 0:00:00;3
11/10/2015 0:00:00;200
12/10/2015 0:00:00;348
13/10/2015 0:00:00;318
14/10/2015 0:00:00;322
15/10/2015 0:00:00;311
16/10/2015 0:00:00;304
17/10/2015 0:00:00;189
18/10/2015 0:00:00;320
19/10/2015 0:00:00;332
20/10/2015 0:00:00;313
21/10/2015 0:00:00;315
22/10/2015 0:00:00;115
23/10/2015 0:00:00;366
24/10/2015 0:00:00;331
25/10/2015 0:00:00;333
26/10/2015 0:00:00;354
27/10/2015 0:00:00;322
28/10/2015 0:00:00;252
29/10/2015 0:00:00;290
30/10/2015 0:00:00;349
31/10/2015 0:00:00;344
01/11/2015 0:00:00;330
02/11/2015 0:00:00;360
03/11/2015 0:00:00;356
04/11/2015 0:00:00;330
05/11/2015 0:00:00;340
06/11/2015 0:00:00;373
07/11/2015 0:00:00;342
08/11/2015 0:00:00;426
09/11/2015 0:00:00;228
10/11/2015 0:00:00;318
11/11/2015 0:00:00;349
12/11/2015 0:00:00;346
13/11/2015 0:00:00;248
14/11/2015 0:00:00;228
15/11/2015 0:00:00;204
16/11/2015 0:00:00;96
17/11/2015 0:00:00;162
18/11/2015 0:00:00;300
19/11/2015 0:00:00;303
20/11/2015 0:00:00;279
21/11/2015 0:00:00;310
22/11/2015 0:00:00;352
23/11/2015 0:00:00;218
24/11/2015 0:00:00;119
25/11/2015 0:00:00;174
26/11/2015 0:00:00;246
27/11/2015 0:00:00;256
28/11/2015 0:00:00;197
29/11/2015 0:00:00;238
30/11/2015 0:00:00;273
01/12/2015 0:00:00;133
02/12/2015 0:00:00;234
03/12/2015 0:00:00;189
04/12/2015 0:00:00;263
05/12/2015 0:00:00;224
06/12/2015 0:00:00;244
07/12/2015 0:00:00;273
08/12/2015 0:00:00;268
09/12/2015 0:00:00
10/12/2015 0:00:00;565
11/12/2015 0:00:00;219
12/12/2015 0:00:00;218
13/12/2015 0:00:00;244
14/12/2015 0:00:00;151
15/12/2015 0:00:00;211
16/12/2015 0:00:00;241
17/12/2015 0:00:00;232
18/12/2015 0:00:00;196
19/12/2015 0:00:00;204
20/12/2015 0:00:00;227
21/12/2015 0:00:00;245
22/12/2015 0:00:00;230
23/12/2015 0:00:00;174
24/12/2015 0:00:00;218
25/12/2015 0:00:00;239
26/12/2015 0:00:00;265
27/12/2015 0:00:00;264
28/12/2015 0:00:00;217
29/12/2015 0:00:00;143
30/12/2015 0:00:00;249
31/12/2015 0:00:00;218
01/01/2016 0:00:00;210
02/01/2016 0:00:00;122
03/01/2016 0:00:00;0
04/01/2016 0:00:00;0
05/01/2016 0:00:00;10
06/01/2016 0:00:00;4
07/01/2016 0:00:00;223
08/01/2016 0:00:00;224
09/01/2016 0:00:00;233
10/01/2016 0:00:00;256
11/01/2016 0:00:00;164
12/01/2016 0:00:00;91
13/01/2016 0:00:00;157
14/01/2016 0:00:00;184
15/01/2016 0:00:00;196
16/01/2016 0:00:00;182
17/01/2016 0:00:00;162
18/01/2016 0:00:00;150
19/01/2016 0:00:00;174
20/01/2016 0:00:00;182
21/01/2016 0:00:00;205
22/01/2016 0:00:00;160
23/01/2016 0:00:00;210
24/01/2016 0:00:00;224
25/01/2016 0:00:00;226
26/01/2016 0:00:00;232
27/01/2016 0:00:00;243
28/01/2016 0:00:00;210
29/01/2016 0:00:00;206
30/01/2016 0:00:00;217
