,Tin,Tout,Twb,E,mw,ma
2299,21.600000000000023,20.400000000000034,10.743518800000004,0.0,65.1,0.0
2300,20.600000000000023,19.400000000000034,14.585424400000022,0.0,65.96,0.0
2301,23.100000000000023,20.400000000000034,14.585424400000022,0.0,65.42,0.0
2302,23.600000000000023,20.900000000000034,15.52301620000003,0.0,65.42,0.0
2303,24.600000000000023,20.900000000000034,15.096809000000007,0.0,65.46,0.0
2304,25.0,21.5,15.52301620000003,0.0,236.11999999999998,0.0
2305,23.5,21.5,14.096333399999992,0.0,234.51999999999995,0.0
2306,24.0,21.5,14.096333399999992,0.0,237.66,0.0
2307,24.5,22.100000000000023,13.634503199999983,1.0,236.71999999999997,16778.04545
2308,24.0,22.100000000000023,14.096333399999992,3.0,237.91999999999996,50334.136360000004
2309,23.5,21.80000000000001,13.637179500000002,2.0,236.71999999999997,33556.09091
2310,23.5,21.80000000000001,13.637179500000002,3.0,235.85999999999999,50334.136360000004
2311,23.5,21.80000000000001,13.637179500000002,3.0,234.71999999999997,50334.136360000004
2312,23.5,21.80000000000001,13.647829899999977,2.0,234.11999999999998,33556.09091
2313,23.5,21.80000000000001,13.647829899999977,3.0,235.79999999999998,50334.136360000004
2314,23.5,22.5,13.192965600000093,2.0,234.6,33556.09091
2315,23.5,21.80000000000001,12.24104010000002,2.0,237.45999999999998,33556.09091
2316,22.0,21.80000000000001,12.24104010000002,2.0,64.84,33556.09091
2317,23.600000000000023,21.30000000000001,11.73838210000008,0.0,64.4,0.0
2318,23.100000000000023,21.30000000000001,11.73838210000008,0.0,65.1,0.0
2319,21.5,20.30000000000001,11.73838210000008,0.0,65.12,0.0
2320,22.100000000000023,20.80000000000001,12.703691200000037,0.0,64.8,0.0
2321,21.600000000000023,20.80000000000001,14.144888499999979,0.0,64.86,0.0
2322,23.100000000000023,20.30000000000001,15.096809000000007,0.0,65.56,0.0
2323,24.100000000000023,20.80000000000001,15.096809000000007,0.0,65.9,0.0
2324,25.100000000000023,20.80000000000001,16.04872720000003,0.0,65.7,0.0
2325,23.700000000000045,22.100000000000023,16.460605399999963,2.0,236.6,33556.09091
2326,23.700000000000045,22.100000000000023,16.460605399999963,3.0,236.26,50334.136360000004
2327,23.700000000000045,22.100000000000023,16.460605399999963,5.0,234.2,83890.22727
2328,23.700000000000045,22.100000000000023,17.000643200000013,4.0,235.72,67112.18182
2329,23.700000000000045,22.100000000000023,16.04872720000003,5.0,238.25999999999996,83890.22727
2330,23.700000000000045,22.100000000000023,16.19378510000007,5.0,232.66,83890.22727
2331,23.700000000000045,22.100000000000023,16.19378510000007,4.0,236.31999999999996,67112.18182
2332,24.200000000000045,22.100000000000023,16.19378510000007,5.0,237.2,83890.22727
2333,23.700000000000045,22.100000000000023,15.213528900000028,5.0,237.39999999999998,83890.22727
