T_DB,T_WB
280.15,274.6294838
280.15,274.8546661
280.15,274.8546661
279.15,274.4042748
279.15,274.4042748
278.15,274.2750841
279.15,274.4042748
279.15,274.6743125
278.15,273.7739576
279.15,274.2000826
280.15,274.6294838
282.15,275.1559894
283.15,275.524039
284.15,276.1964237
286.15,276.4908102
286.15,276.4908102
286.15,276.4908102
285.15,276.7371478
283.15,275.9602513
282.15,275.351794
282.15,275.351794
281.15,274.9866396
281.15,274.9866396
280.15,274.6294838
280.15,274.8546661
279.15,274.4042748
278.15,273.7739576
278.15,274.0244094
278.15,274.0244094
277.15,273.5834146
276.15,272.7032789
276.15,272.7032789
275.15,272.0304598
275.15,272.0304598
277.15,273.5834146
280.15,275.5120288
282.15,276.6924586
