ss_gv2_demand,ss_hsb_demand,ss_pfa_demand,ss_ser_demand,ss_fir_demand
1800,50,150,13.9,0
3600,38.46153846,130,14,0
3600,30.76923077,110,13.9,0
3600,30.76923077,110,13.9,0
3600,30,50,14,0
1800,20,70,13.9,0
1800,20,50,14,0
1800,10,60,13.9,0
108.6956522,20,50,13.9,0
82.60869565,20,50,14,0
39.13043478,10,30,13.9,0
34.7826087,20,60,13.9,0
34.7826087,10,50,14,0
34.7826087,10,50,13.9,0
47.82608696,20,50,14,0
330.4347826,10,110,13.9,0
1086.956522,15.38461538,80,13.9,0
1800,23.07692308,90,14,0
1800,23.07692308,120,13.9,0
3600,15.38461538,110,14,0
1800,23.07692308,110,13.9,0
1800,30,120,13.9,0
1800,20,100,14,0
3600,30,110,13.9,0
1800,20,120,13.9,0
3600,27.27272727,100,14,0
3600,18.18181818,110,13.9,0
3600,27.27272727,80,14,0
1800,27.27272727,20,13.9,0
3600,16.66666667,20,13.9,0
1800,16.66666667,20,14,0
447.4431818,16.66666667,20,13.9,0
984.375,16.66666667,30,13.9,0
368.1818182,8.333333333,20,14,0
133.07393,8.333333333,4.907161804,13.9,0
49.02723735,16.66666667,5.092838196,14,0
56.0311284,8.333333333,20,13.9,0
56.0311284,16.66666667,30,13.9,0
56.0311284,8.333333333,20,14,0
1449.805447,8.333333333,80,13.9,0
331.0344828,16.66666667,30,14,0
1468.965517,25,40,13.9,0
1800,16.66666667,60,13.9,0
3600,30,110,14,0
1800,20,100,13.9,0
3600,20,110,13.9,0
1800,30,90,14,0
1800,14.28571429,80,13.9,0
3600,21.42857143,90,14,0
3600,14.28571429,90,13.9,0
1800,21.42857143,100,13.9,0
3600,14.28571429,80,14,0
3600,14.28571429,80,13.9,0
1800,25,60,13.9,0
1800,16.66666667,60,14,0
1800,16.66666667,60,13.9,0
320.7658321,25,60,14,0
177.6141384,16.66666667,50,13.9,0
42.41531664,9.090909091,40,13.9,0
21.20765832,18.18181818,40,14,0
21.20765832,18.18181818,50,13.9,0
50.36818851,18.18181818,50,14,0
487.7761414,18.18181818,50,13.9,0
678.6450663,18.18181818,110,13.9,0
378.9473684,16.66666667,60,14,0
1421.052632,16.66666667,100,13.9,0
1800,16.66666667,70,13.9,0
3600,16.66666667,90,14,0
1800,16.66666667,60,13.9,0
1800,16.66666667,70,14,0
3600,15.38461538,80,13.9,0
1800,15.38461538,80,13.9,0
3600,15.38461538,80,14,0
1800,23.07692308,90,13.9,0
3600,7.692307692,70,14,0
3600,23.07692308,40,13.9,0
3600,9.090909091,20,13.9,0
1800,18.18181818,30,14,0
1800,18.18181818,20,13.9,0
1800,18.18181818,20,13.9,0
564,18.18181818,20,14,0
264,18.18181818,20,13.9,0
56,7.692307692,10,14,0
32,7.692307692,10,13.9,0
32,15.38461538,20,13.9,0
32,7.692307692,20,14,0
32,7.692307692,10,13.9,0
788,15.38461538,30,13.9,0
201.4925373,7.692307692,10,14,0
1598.507463,15.38461538,10,13.9,0
1800,15.38461538,40,14,0
1800,14.28571429,20,13.9,0
1800,21.42857143,50,13.9,0
1800,21.42857143,60,14,0
1800,14.28571429,50,13.9,0
3600,28.57142857,20,14,0
1800,30,30,13.9,0
3600,20,20,13.9,0
1800,10,20,14,0
3600,20,20,13.9,0
3600,20,10,13.9,0
3600,18.18181818,30,14,0
695.5932203,18.18181818,20,13.9,0
1104.40678,18.18181818,20,14,0
812.0141343,18.18181818,20,13.9,0
349.8233216,18.18181818,30,13.9,0
33.92226148,9.090909091,5.386533666,14,0
16.96113074,15.38461538,4.613466334,13.9,0
16.96113074,15.38461538,20,13.9,0
16.96113074,15.38461538,20,14,0
16.96113074,7.692307692,20,13.9,0
536.3957597,15.38461538,20,14,0
634.5323741,15.38461538,10,13.9,0
1165.467626,15.38461538,30,13.9,0
910.8433735,21.42857143,30,14,0
889.1566265,21.42857143,20,13.9,0
637.1681416,28.57142857,50,14,0
589.380531,28.57142857,50,13.9,0
573.4513274,27.27272727,40,13.9,0
611.6504854,36.36363636,30,14,0
