Day of week;Date;Month;Year ;Hour;Gv2_load;Gv2_delt;Gv2_flow;Hsb_load;Hsb_delt;Hsb_flow;Pfa_load;Pfa_delt;Pfa_flow;Ser_load;Ser_delt;Ser_flow;Fir_load;Fir_delt;Fir_flow
7;3;1;2016;17;499,1;4,120879121;104;14,28571429;6,13348926;2;0;0;0;14;2,585298699;4,65;0;0;0
7;3;1;2016;18;499,1;3,128258603;137;7,142857143;6,13348926;1;0;0;0;13,9;2,56683228;4,65;0;0;0
7;3;1;2016;19;499,1;2,915451895;147;7,142857143;6,13348926;1;0;0;0;14;2,585298699;4,65;0;0;0
7;3;1;2016;20;998,2;5,602240896;153;21,42857143;6,13348926;3;0;0;0;13,9;2,56683228;4,65;0;0;0
7;3;1;2016;21;499,1;2,729754322;157;14,28571429;6,13348926;2;0;0;0;13,9;2,56683228;4,65;0;0;0
7;3;1;2016;22;499,1;3,246753247;132;21,42857143;6,13348926;3;0;0;0;14;2,585298699;4,65;0;0;0
7;3;1;2016;23;499,1;6,493506494;66;18,18181818;7,806259059;2;0;0;0;13,9;2,56683228;4,65;0;0;0
1;4;1;2016;0;21,52980392;1,680672269;11;27,27272727;7,806259059;3;0;0;0;13,9;2,56683228;4,65;0;0;0
1;4;1;2016;1;15,65803922;1,680672269;8;36,36363636;7,806259059;4;100;3,816393317;22,5;14;2,585298699;4,65;0;0;0
1;4;1;2016;2;17,61529412;1,680672269;9;18,18181818;7,806259059;2;70;2,75725664;21,8;13,9;2,56683228;4,65;0;0;0
1;4;1;2016;3;15,65803922;1,680672269;8;21,42857143;6,13348926;3;40;1,962716563;17,5;14;2,585298699;4,65;0;0;0
1;4;1;2016;4;15,65803922;1,680672269;8;21,42857143;6,13348926;3;50;2,824633212;15,2;13,9;2,56683228;4,65;0;0;0
1;4;1;2016;5;15,65803922;1,680672269;8;21,42857143;6,13348926;3;50;2,862294988;15;13,9;2,56683228;4,65;0;0;0
1;4;1;2016;6;15,65803922;1,680672269;8;14,28571429;6,13348926;2;50;3,044994668;14,1;14;2,585298699;4,65;0;0;0
1;4;1;2016;7;15,65803922;1,680672269;8;21,42857143;6,13348926;3;50;2,787949664;15,4;13,9;2,56683228;4,65;0;0;0
1;4;1;2016;8;15,65803922;1,680672269;8;18,18181818;7,806259059;2;170;3,595493704;40,6;14;2,585298699;4,65;0;0;0
1;4;1;2016;9;350,3486275;1,680672269;179;18,18181818;7,806259059;2;70;1,36920717;43,9;13,9;2,56683228;4,65;0;0;0
1;4;1;2016;10;319,0449367;2,712477396;101;18,18181818;7,806259059;2;80;1,734724235;39,6;13,9;2,56683228;4,65;0;0;0
1;4;1;2016;11;180,0550633;2,712477396;57;18,18181818;7,806259059;2;80;1,779665278;38,6;14;2,585298699;4,65;0;0;0
1;4;1;2016;12;499,1;4,120879121;104;27,27272727;7,806259059;3;90;2,286448659;33,8;13,9;2,56683228;4,65;0;0;0
1;4;1;2016;13;499,1;2,838221381;151;10;8,586884964;1;80;2,140033636;32,1;13,9;2,56683228;4,65;0;0;0
1;4;1;2016;14;499,1;3,348214286;128;20;8,586884964;2;60;1,746485077;29,5;14;2,585298699;4,65;0;0;0
1;4;1;2016;15;499,1;3,222341568;133;10;8,586884964;1;50;1,35868433;31,6;13,9;2,56683228;4,65;0;0;0
1;4;1;2016;16;499,1;3,484320557;123;20;8,586884964;2;90;2,430250462;31,8;14;2,585298699;4,65;0;0;0
1;4;1;2016;17;499,1;3,198294243;134;20;8,586884964;2;110;2,587828345;36,5;13,9;2,56683228;4,65;0;0;0
1;4;1;2016;18;998,2;5,602240896;153;20;8,586884964;2;70;1,990337575;30,2;13,9;2,56683228;4,65;0;0;0
1;4;1;2016;19;499,1;2,341920375;183;7,142857143;6,13348926;1;60;1,981588838;26;14;2,585298699;4,65;0;0;0
1;4;1;2016;20;998,2;4,511278195;190;14,28571429;6,13348926;2;40;1,384981446;24,8;13,9;2,56683228;4,65;0;0;0
1;4;1;2016;21;998,2;4,487658938;191;14,28571429;6,13348926;2;20;0,981358282;17,5;14;2,585298699;4,65;0;0;0
1;4;1;2016;22;499,1;2,477291495;173;28,57142857;6,13348926;4;20;0,918383419;18,7;13,9;2,56683228;4,65;0;0;0
1;4;1;2016;23;499,1;4,373177843;98;21,42857143;6,13348926;3;20;0,9134984;18,8;13,9;2,56683228;4,65;0;0;0
2;5;1;2016;0;22,57236181;1,076812635;18;14,28571429;6,13348926;2;10;0,490679141;17,5;14;2,585298699;4,65;0;0;0
2;5;1;2016;1;11,2861809;1,076812634;9;27,27272727;7,806259059;3;20;0,928311888;18,5;13,9;2,56683228;4,65;0;0;0
2;5;1;2016;2;10,0321608;1,076812634;8;27,27272727;7,806259059;3;20;1,100882688;15,6;13,9;2,56683228;4,65;0;0;0
2;5;1;2016;3;10,0321608;1,076812634;8;9,090909091;7,806259059;1;10;0,709659914;12,1;14;2,585298699;4,65;0;0;0
2;5;1;2016;4;10,0321608;1,076812634;8;18,18181818;7,806259059;2;10;0,670850388;12,8;13,9;2,56683228;4,65;0;0;0
2;5;1;2016;5;10,0321608;1,076812634;8;18,18181818;7,806259059;2;20;1,341700776;12,8;14;2,585298699;4,65;0;0;0
2;5;1;2016;6;10,0321608;1,076812634;8;14,28571429;6,13348926;2;10;0,665649997;12,9;13,9;2,56683228;4,65;0;0;0
2;5;1;2016;7;10,0321608;1,076812634;8;14,28571429;6,13348926;2;20;1,291260897;13,3;13,9;2,56683228;4,65;0;0;0
2;5;1;2016;8;10,0321608;1,076812634;8;14,28571429;6,13348926;2;80;2,582521794;26,6;14;2,585298699;4,65;0;0;0
2;5;1;2016;9;193,1190955;1,076812635;154;14,28571429;6,13348926;2;40;1,908196659;18;13,9;2,56683228;4,65;0;0;0
2;5;1;2016;10;201,8972362;1,076812635;161;14,28571429;6,13348926;2;50;2,570923642;16,7;13,9;2,56683228;4,65;0;0;0
2;5;1;2016;11;291,0469248;0,976244712;256;7,142857143;6,13348926;1;40;1,506471046;22,8;14;2,585298699;4,65;0;0;0
2;5;1;2016;12;208,0530752;0,976244712;183;21,42857143;6,13348926;3;40;1,05684738;32,5;13,9;2,56683228;4,65;0;0;0
2;5;1;2016;13;499,1;3,861003861;111;27,27272727;7,806259059;3;60;0,815210598;63,2;14;2,585298699;4,65;0;0;0
2;5;1;2016;14;499,1;4,005340454;107;27,27272727;7,806259059;3;80;2,274671514;30,2;13,9;2,56683228;4,65;0;0;0
2;5;1;2016;15;499,1;4,243281471;101;18,18181818;7,806259059;2;80;2,201765375;31,2;13,9;2,56683228;4,65;0;0;0
2;5;1;2016;16;499,1;4,41826215;97;27,27272727;7,806259059;3;70;2,051474224;29,3;14;2,585298699;4,65;0;0;0
2;5;1;2016;17;499,1;2,367797948;181;18,18181818;7,806259059;2;60;1,651324032;31,2;13,9;2,56683228;4,65;0;0;0
2;5;1;2016;18;998,2;6,166495375;139;18,18181818;7,806259059;2;60;1,656633755;31,1;14;2,585298699;4,65;0;0;0
2;5;1;2016;19;499,1;3,174603175;135;9,090909091;7,806259059;1;30;0,805020465;32;13,9;2,56683228;4,65;0;0;0
2;5;1;2016;20;499,1;3,271537623;131;18,18181818;7,806259059;2;50;1,49597299;28,7;13,9;2,56683228;4,65;0;0;0
2;5;1;2016;21;499,1;3,759398496;114;18,18181818;7,806259059;2;20;0,715573747;24;14;2,585298699;4,65;0;0;0
2;5;1;2016;22;499,1;4,005340454;107;18,18181818;7,806259059;2;20;0,712604561;24,1;13,9;2,56683228;4,65;0;0;0
2;5;1;2016;23;370,6188119;4,243281471;75;15,38461538;6,605296126;2;10;0,379950662;22,6;13,9;2,56683228;4,65;0;0;0
3;6;1;2016;0;128,4811881;4,24328147;26;23,07692308;6,605296126;3;20;0,706739503;24,3;14;2,585298699;4,65;0;0;0
3;6;1;2016;1;12,4775;1,071428571;10;23,07692308;6,605296126;3;20;0,715573747;24;13,9;2,56683228;4,65;0;0;0
3;6;1;2016;2;9,982;1,071428571;8;23,07692308;6,605296126;3;20;1,028369457;16,7;14;2,585298699;4,65;0;0;0
3;6;1;2016;3;9,982;1,071428571;8;15,38461538;6,605296126;2;10;0,553992578;15,5;13,9;2,56683228;4,65;0;0;0
3;6;1;2016;4;9,982;1,071428571;8;16,66666667;7,15573747;2;10;0,517282227;16,6;13,9;2,56683228;4,65;0;0;0
3;6;1;2016;5;9,982;1,071428571;8;16,66666667;7,15573747;2;20;1,047181093;16,4;14;2,585298699;4,65;0;0;0
3;6;1;2016;6;9,982;1,071428571;8;16,66666667;7,15573747;2;10;0,557589933;15,4;13,9;2,56683228;4,65;0;0;0
3;6;1;2016;7;9,982;1,071428571;8;16,66666667;7,15573747;2;20;1,040834541;16,5;13,9;2,56683228;4,65;0;0;0
3;6;1;2016;8;9,982;1,071428571;8;16,66666667;7,15573747;2;90;2,385245823;32,4;14;2,585298699;4,65;0;0;0
3;6;1;2016;9;252,0455;1,071428571;202;16,66666667;7,15573747;2;70;1,717376993;35;13,9;2,56683228;4,65;0;0;0
3;6;1;2016;10;14,973;1,071428571;12;25;7,15573747;3;50;0,991557155;43,3;14;2,585298699;4,65;0;0;0
3;6;1;2016;11;149,73;1,071428571;120;16,66666667;7,15573747;2;60;1,200962932;42,9;13,9;2,56683228;4,65;0;0;0
3;6;1;2016;12;106,9702672;0,243644928;377;25;7,15573747;3;60;1,176285612;43,8;13,9;2,56683228;4,65;0;0;0
3;6;1;2016;13;109,5239341;0,243644928;386;16,66666667;7,15573747;2;70;1,119333236;53,7;14;2,585298699;4,65;0;0;0
3;6;1;2016;14;109,5239341;0,243644928;386;16,66666667;7,15573747;2;60;0,629844863;81,8;13,9;2,56683228;4,65;0;0;0
3;6;1;2016;15;49,37089255;0,243644928;174;18,18181818;7,806259059;2;80;0,639023997;107,5;14;2,585298699;4,65;0;0;0
3;6;1;2016;16;5,107333712;0,243644928;18;27,27272727;7,806259059;3;80;0,633134375;108,5;13,9;2,56683228;4,65;0;0;0
3;6;1;2016;17;3,404889142;0,243644928;12;18,18181818;7,806259059;2;70;1,51025615;39,8;13,9;2,56683228;4,65;0;0;0
3;6;1;2016;18;4,256111427;0,243644928;15;9,090909091;7,806259059;1;70;1,832566913;32,8;14;2,585298699;4,65;0;0;0
3;6;1;2016;19;4,539852189;0,243644928;16;18,18181818;7,806259059;2;70;1,815957545;33,1;13,9;2,56683228;4,65;0;0;0
3;6;1;2016;20;4,539852189;0,243644928;16;9,090909091;7,806259059;1;60;1,620166974;31,8;13,9;2,56683228;4,65;0;0;0
3;6;1;2016;21;10,49840819;0,243644928;37;14,28571429;6,13348926;2;20;0,837744875;20,5;14;2,585298699;4,65;0;0;0
3;6;1;2016;22;8,228482092;0,243644928;29;14,28571429;6,13348926;2;10;0,429344248;20;13,9;2,56683228;4,65;0;0;0
3;6;1;2016;23;9,079704377;0,243644928;32;7,142857143;6,13348926;1;20;0,787787611;21,8;14;2,585298699;4,65;0;0;0
4;7;1;2016;0;11,34963047;0,243644928;40;21,42857143;6,13348926;3;10;0,390312953;22;13,9;2,56683228;4,65;0;0;0
4;7;1;2016;1;5,107333712;0,243644928;18;21,42857143;6,13348926;3;20;0,829650721;20,7;13,9;2,56683228;4,65;0;0;0
4;7;1;2016;2;2,269926094;0,243644928;8;21,42857143;6,13348926;3;20;0,795081941;21,6;14;2,585298699;4,65;0;0;0
4;7;1;2016;3;1,986185333;0,243644928;7;15,38461538;6,605296126;2;10;0,596311456;14,4;13,9;2,56683228;4,65;0;0;0
4;7;1;2016;4;2,269926094;0,243644928;8;15,38461538;6,605296126;2;10;0,50511088;17;13,9;2,56683228;4,65;0;0;0
4;7;1;2016;5;2,269926094;0,243644928;8;15,38461538;6,605296126;2;10;0,561234311;15,3;14;2,585298699;4,65;0;0;0
4;7;1;2016;6;2,269926094;0,243644928;8;23,07692308;6,605296126;3;20;1,060109255;16,2;13,9;2,56683228;4,65;0;0;0
4;7;1;2016;7;2,269926094;0,243644928;8;15,38461538;6,605296126;2;10;0,553992578;15,5;14;2,585298699;4,65;0;0;0
4;7;1;2016;8;44,26355884;0,243644928;156;15,38461538;6,605296126;2;90;1,672769798;46,2;13,9;2,56683228;4,65;0;0;0
4;7;1;2016;9;35,33451327;3,792667509;8;15,38461538;6,605296126;2;60;0,715573747;72;13,9;2,56683228;4,65;0;0;0
4;7;1;2016;10;247,3415929;3,792667509;56;7,692307692;6,605296126;1;100;1,115179866;77;14;2,585298699;4,65;0;0;0
4;7;1;2016;11;216,4238938;3,792667509;49;15,38461538;6,605296126;2;70;0,852598507;70,5;13,9;2,56683228;4,65;0;0;0
4;7;1;2016;12;169,7969072;2,209131075;66;7,692307692;6,605296126;1;90;2,313831278;33,4;14;2,585298699;4,65;0;0;0
4;7;1;2016;13;329,3030928;2,209131075;128;15,38461538;6,605296126;2;50;1,67712597;25,6;13,9;2,56683228;4,65;0;0;0
4;7;1;2016;14;499,1;3,694581281;116;15,38461538;6,605296126;2;50;1,602030777;26,8;13,9;2,56683228;4,65;0;0;0
4;7;1;2016;15;499,1;3,401360544;126;23,07692308;6,605296126;3;50;1,638718505;26,2;14;2,585298699;4,65;0;0;0
4;7;1;2016;16;499,1;3,931847969;109;13,33333333;5,724589976;2;50;1,6576998;25,9;13,9;2,56683228;4,65;0;0;0
4;7;1;2016;17;499,1;3,151260504;136;13,33333333;5,724589976;2;50;1,626303971;26,4;13,9;2,56683228;4,65;0;0;0
4;7;1;2016;18;998,2;4,983388704;172;20;5,724589976;3;60;1,887227465;27,3;14;2,585298699;4,65;0;0;0
4;7;1;2016;19;499,1;2,448979592;175;13,33333333;5,724589976;2;50;1,608030892;26,7;13,9;2,56683228;4,65;0;0;0
4;7;1;2016;20;998,2;4,307250538;199;13,33333333;5,724589976;2;40;1,373901594;25;14;2,585298699;4,65;0;0;0
4;7;1;2016;21;998,2;4,41826215;194;26,66666667;5,724589976;4;20;0,903882628;19;13,9;2,56683228;4,65;0;0;0
4;7;1;2016;22;499,1;2,435064935;176;21,42857143;6,13348926;3;20;0,903882628;19;13,9;2,56683228;4,65;0;0;0
4;7;1;2016;23;499,1;5,494505495;78;21,42857143;6,13348926;3;20;0,889832639;19,3;14;2,585298699;4,65;0;0;0
5;8;1;2016;0;32,88643411;1,661129568;17;21,42857143;6,13348926;3;20;0,943613732;18,2;13,9;2,56683228;4,65;0;0;0
5;8;1;2016;1;15,47596899;1,661129568;8;21,42857143;6,13348926;3;20;0,88070615;19,5;14;2,585298699;4,65;0;0;0
5;8;1;2016;2;15,47596899;1,661129568;8;14,28571429;6,13348926;2;10;0,553992578;15,5;13,9;2,56683228;4,65;0;0;0
5;8;1;2016;3;15,47596899;1,661129568;8;16,66666667;7,15573747;2;20;1,310974804;13,1;13,9;2,56683228;4,65;0;0;0
5;8;1;2016;4;15,47596899;1,661129568;8;16,66666667;7,15573747;2;10;0,640812311;13,4;14;2,585298699;4,65;0;0;0
5;8;1;2016;5;15,47596899;1,661129568;8;25;7,15573747;3;20;1,396241458;12,3;13,9;2,56683228;4,65;0;0;0
5;8;1;2016;6;13,54147287;1,661129568;7;8,333333333;7,15573747;1;10;0,650521588;13,2;13,9;2,56683228;4,65;0;0;0
5;8;1;2016;7;15,47596899;1,661129568;8;16,66666667;7,15573747;2;20;1,244476082;13,8;14;2,585298699;4,65;0;0;0
5;8;1;2016;8;15,47596899;1,661129568;8;16,66666667;7,15573747;2;90;2,82050966;27,4;13,9;2,56683228;4,65;0;0;0
5;8;1;2016;9;344,3403101;1,661129568;178;14,28571429;6,13348926;2;50;1,533372315;28;14;2,585298699;4,65;0;0;0
5;8;1;2016;10;225,3645374;0,943989931;205;14,28571429;6,13348926;2;30;0,879203239;29,3;13,9;2,56683228;4,65;0;0;0
5;8;1;2016;11;273,7354626;0,943989931;249;21,42857143;6,13348926;3;70;1,702781721;35,3;13,9;2,56683228;4,65;0;0;0
5;8;1;2016;12;499,1;3,374578178;127;14,28571429;6,13348926;2;90;1,620166974;47,7;14;2,585298699;4,65;0;0;0
5;8;1;2016;13;499,1;2,566295979;167;35,71428571;6,13348926;5;120;2,525554401;40,8;13,9;2,56683228;4,65;0;0;0
5;8;1;2016;14;998,2;4,608294931;186;50;10,73360621;4;110;3,117350977;30,3;13,9;2,56683228;4,65;0;0;0
5;8;1;2016;15;499,1;2,354788069;182;50;10,73360621;4;100;2,691813468;31,9;14;2,585298699;4,65;0;0;0
5;8;1;2016;16;998,2;4,608294931;186;53,84615385;6,605296126;7;110;2,989105526;31,6;13,9;2,56683228;4,65;0;0;0
5;8;1;2016;17;998,2;4,264392324;201;46,15384615;6,605296126;6;80;2,215970313;31;14;2,585298699;4,65;0;0;0
5;8;1;2016;18;499,1;1,85528757;231;33,33333333;7,15573747;4;60;1,625277911;31,7;13,9;2,56683228;4,65;0;0;0
5;8;1;2016;19;998,2;3,742981909;229;33,33333333;7,15573747;4;50;1,398515467;30,7;13,9;2,56683228;4,65;0;0;0
5;8;1;2016;20;998,2;3,931847969;218;33,33333333;7,15573747;4;40;1,176285612;29,2;14;2,585298699;4,65;0;0;0
5;8;1;2016;21;998,2;3,986710963;215;36,36363636;7,806259059;4;20;0,73079872;23,5;13,9;2,56683228;4,65;0;0;0
5;8;1;2016;22;998,2;4,160887656;206;36,36363636;7,806259059;4;20;0,737071671;23,3;14;2,585298699;4,65;0;0;0
5;8;1;2016;23;499,1;3,826530612;112;27,27272727;7,806259059;3;20;0,721586972;23,8;13,9;2,56683228;4,65;0;0;0
6;9;1;2016;0;27,16620253;0,542495479;43;33,33333333;9,540983294;3;20;0,77359324;22,2;13,9;2,56683228;4,65;0;0;0
6;9;1;2016;1;6,317721519;0,542495479;10;22,22222222;9,540983294;2;20;0,73079872;23,5;14;2,585298699;4,65;0;0;0
6;9;1;2016;2;5,054177215;0,542495479;8;22,22222222;9,540983294;2;20;0,73079872;23,5;13,9;2,56683228;4,65;0;0;0
6;9;1;2016;3;5,054177215;0,542495479;8;22,22222222;9,540983294;2;10;0,517282227;16,6;13,9;2,56683228;4,65;0;0;0
6;9;1;2016;4;5,054177215;0,542495479;8;8,333333333;7,15573747;1;20;1,060109255;16,2;14;2,585298699;4,65;0;0;0
6;9;1;2016;5;5,054177215;0,542495479;8;16,66666667;7,15573747;2;20;1,073360621;16;13,9;2,56683228;4,65;0;0;0
6;9;1;2016;6;5,054177215;0,542495479;8;8,333333333;7,15573747;1;10;0,530054627;16,2;14;2,585298699;4,65;0;0;0
6;9;1;2016;7;5,054177215;0,542495479;8;16,66666667;7,15573747;2;20;1,137335757;15,1;13,9;2,56683228;4,65;0;0;0
