,Unit_name,v1_name,v2_name,v1_value,v2_value,y_value,Coeff_v1_2,Coeff_v1_1,Coeff_v2_2,Coeff_v2_1,Coeff_v1_v2,Coeff_cst,obj_contri
209,dist_np_combi_6_3_time2,m_flow,delp,0.0,0.0,0.0,0,0.00378381941874153,0,0.05698329580922916,0,0.22358424956826825,0.0
210,enwk_1_time2,m_flow,-,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0
211,enwk_2_time2,m_flow,-,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0
212,enwk_3_time2,m_flow,-,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0
213,enwk_4_time2,m_flow,-,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0
214,cnwk_1_time2,m_flow,-,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0
215,cnwk_2_time2,m_flow,-,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0
216,cnwk_3_time2,m_flow,-,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0
217,cnwk_4_time2,m_flow,-,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0
218,cts_time2,q_rej,-,0.0,0,1.0,0,0.00024825702887202824,0,0,0,0.0,0.0
219,ch1_1_time3,q_out,-,0.0,0,0.0,0,0.006879135329706917,0,0,0,6.3920601327287665,0.0
220,ch1_2_time3,q_out,-,0.0,0,0.0,0,0.012398226376701831,0,0,0,3.6325146092313094,0.0
221,ch1_3_time3,q_out,-,0.0,0,0.0,0,0.018588462242619452,0,0,0,-2.557721256686313,0.0
222,ch1_4_time3,q_out,-,0.0,0,0.0,0,0.025563258249304506,0,0,0,-13.01991526671389,0.0
223,ch2_1_time3,q_out,-,0.0,0,0.0,0,0.006195981576041489,0,0,0,25.412202150929463,0.0
224,ch2_2_time3,q_out,-,0.0,0,0.0,0,0.010332092438172874,0,0,0,17.832778996073703,0.0
225,ch2_3_time3,q_out,-,0.0,0,0.0,0,0.014845091047885249,0,0,0,1.2926390914778514,0.0
226,ch2_4_time3,q_out,-,0.0,0,0.0,0,0.019782201648073473,0,0,0,-25.849126433056917,0.0
227,ch3_1_time3,q_out,-,0.0,0,0.0,0,0.006195981576041489,0,0,0,25.412202150929463,0.0
228,ch3_2_time3,q_out,-,0.0,0,0.0,0,0.010332092438172874,0,0,0,17.832778996073703,0.0
229,ch3_3_time3,q_out,-,0.0,0,0.0,0,0.014845091047885249,0,0,0,1.2926390914778514,0.0
230,ch3_4_time3,q_out,-,0.0,0,0.0,0,0.019782201648073473,0,0,0,-25.849126433056917,0.0
231,ep1_1_time3,m_flow,delp,0.0,0.0,0.0,0,0.0011491857629420002,0,0.016570034528922,0,0.013317901917908001,0.0
232,ep1_2_time3,m_flow,delp,0.0,0.0,0.0,0,0.0011491857629420002,0,0.016570034528922,0,0.013317901917908001,0.0
233,ep1_3_time3,m_flow,delp,0.0,0.0,0.0,0,0.0011491857629420002,0,0.016570034528922,0,0.013317901917908001,0.0
234,ep1_4_time3,m_flow,delp,0.0,0.0,0.0,0,0.0011491857629420002,0,0.016570034528922,0,0.013317901917908001,0.0
235,ep2_1_time3,m_flow,delp,0.0,0.0,0.0,0,0.0020641427948540005,0,0.050812631131290004,0,0.097150997242026,0.0
236,ep2_2_time3,m_flow,delp,0.0,0.0,0.0,0,0.0020641427948540005,0,0.050812631131290004,0,0.097150997242026,0.0
