,power_Value,power_Weight,operation_cost_Value,operation_cost_Weight,Rep_obj_value
89,12158.882992231562,0.7416666666666667,5052.967607836633,0.2583333333333333,4389.173609198978
90,12159.13202305164,0.75,5052.983535598838,0.25,4381.7831022703
91,12158.882992231505,0.7583333333333333,5052.967607836605,0.2416666666666667,4374.256890130026
92,12158.882992231538,0.7666666666666666,5052.967607836624,0.2333333333333334,4366.798530592881
93,12158.882992231504,0.775,5052.967607836603,0.225,4359.340171054255
94,12158.882992231524,0.7833333333333333,5052.967607836615,0.21666666666666667,4351.881811525132
95,12158.882992231534,0.7916666666666666,5052.967607836621,0.20833333333333334,4344.423451986127
96,12158.882992231533,0.8,5052.9676078366165,0.2,4336.965092450694
97,12159.132023051683,0.8083333333333333,5052.983535598855,0.19166666666666665,4329.5786241233
98,12158.882992231502,0.8166666666666667,5052.967607836603,0.18333333333333332,4322.048373383122
99,12158.88299223153,0.825,5052.96760783662,0.17500000000000004,4314.590013848276
100,12158.882992231505,0.8333333333333334,5052.967607836606,0.16666666666666666,4307.131654310786
101,12158.88299223153,0.8416666666666667,5052.967607836619,0.15833333333333333,4299.673294773737
102,12130.732633503476,0.85,5104.874037143062,0.15000000000000002,4291.818325416643
103,12130.732633503427,0.8583333333333333,5104.874037143037,0.14166666666666672,4283.847190985545
104,12130.732633503447,0.8666666666666667,5104.8740371430495,0.1333333333333333,4275.876056556895
105,12130.732633503425,0.875,5104.874037143037,0.125,4267.9049221285495
106,12130.732633503449,0.8833333333333333,5104.87403714305,0.1166666666666667,4259.933787699774
107,12130.732633503449,0.8916666666666666,5104.874037143049,0.1083333333333334,4251.962653271239
108,12130.73263350343,0.9,5104.874037143046,0.09999999999999998,4243.991518841355
109,12130.732633503449,0.9083333333333332,5104.874037143051,0.09166666666666667,4236.020384412841
110,12130.732633503478,0.9166666666666666,5104.874037143061,0.08333333333333337,4228.049249987588
111,12128.20793203406,0.925,5115.3740748452365,0.07500000000000008,4220.067000816011
112,12116.852200997439,0.9333333333333332,5166.49555678691,0.06666666666666665,4211.784846358495
113,12116.852200997433,0.9416666666666668,5166.495556786911,0.05833333333333335,4203.260643587846
114,12116.852200997435,0.95,5166.495556786913,0.05000000000000005,4194.736440816911
115,12116.85220099744,0.9583333333333334,5166.495556786913,0.04166666666666663,4186.2122380457995
116,12116.85220099741,0.9666666666666668,5166.495556786897,0.033333333333333326,4177.68803527304
117,12116.852200997433,0.975,5166.49555678691,0.025000000000000026,4169.1638325008225
118,12116.852200997377,0.9833333333333332,5166.495556786894,0.01666666666666672,4160.6396297292395
119,12116.8522009974,0.9916666666666668,5166.495556786893,0.008333333333333305,4152.115426957598
